code,name,themes,theme_count
352820,하이브,엔터테인먼트/K-콘텐츠,1
000080,하이트진로,K-푸드,1
256840,한국비엔씨,비만치료제(GLP-1),1
015760,한국전력,가스발전/유틸리티,1
053300,한국정보인증,사이버보안,1
047810,한국항공우주,"방산, 우주항공",2
002390,한독,비만치료제(GLP-1),1
042700,한미반도체,반도체,1
128940,한미약품,비만치료제(GLP-1),1
004710,한솔테크닉스,태양광/풍력(신재생),1
011700,한신기계,원자력(SMR),1
024740,한일단조,방산,1
051600,한전KPS,원자력(SMR),1
052690,한전기술,"AI 데이터센터/전력망, 원자력(SMR)",2
130660,한전산업,원자력(SMR),1
009830,한화솔루션,"2차전지, 태양광/풍력(신재생)",2
272210,한화시스템,방산,1
012450,한화에어로스페이스,"방산, 우주항공",2
042660,한화오션,조선,1
000720,현대건설,건설,1
064350,현대로템,방산,1
012330,현대모비스,ESS/BESS,1
307950,현대오토에버,자율주행,1
298040,효성중공업,"AI 데이터센터/전력망, 전력기기",2
093370,후성,2차전지,1
005870,휴니드,"방산, 우주항공",2
090710,휴림로봇,로봇/피지컬AI,1
145020,휴젤,바이오/제약,1
